# blastn
# Iteration: 0
# Query: case04_hw02_query
# RID: 449TZG6M014
# Database: nt_v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 100 hits found
case04_hw02_query	AF372422.1	98.163	490	6	2	1	487	1	490	0.0	852
case04_hw02_query	DQ859059.1	97.551	490	9	2	1	487	1224	1713	0.0	835
case04_hw02_query	KF383035.1	98.234	453	5	2	38	487	1	453	0.0	789
case04_hw02_query	KY288905.1	94.094	508	9	3	1	487	1329	1836	0.0	752
case04_hw02_query	KU963574.2	90.612	490	43	3	1	487	1321	1810	0.0	647
case04_hw02_query	KF268949.1	91.213	478	39	3	1	475	1329	1806	0.0	647
case04_hw02_query	HQ234500.1	90.612	490	43	3	1	487	1224	1713	0.0	647
case04_hw02_query	MN755617.1	90.408	490	44	3	1	487	1224	1713	1.90e-180	643
case04_hw02_query	MN755624.1	90.323	496	39	7	1	487	1224	1719	6.83e-180	641
case04_hw02_query	MK105975.1	90.323	496	39	7	1	487	1322	1817	6.83e-180	641
case04_hw02_query	MH061909.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061903.1	90.323	496	39	7	1	487	1311	1806	6.83e-180	641
case04_hw02_query	MH061899.1	90.323	496	39	7	1	487	1306	1801	6.83e-180	641
case04_hw02_query	MH061889.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061888.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061883.1	90.323	496	39	7	1	487	1292	1787	6.83e-180	641
case04_hw02_query	MH061880.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061875.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061873.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061872.1	90.323	496	39	7	1	487	1290	1785	6.83e-180	641
case04_hw02_query	MH061870.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061869.1	90.323	496	39	7	1	487	1291	1786	6.83e-180	641
case04_hw02_query	MH061864.1	90.323	496	39	7	1	487	1294	1789	6.83e-180	641
case04_hw02_query	MH061863.1	90.323	496	39	7	1	487	1311	1806	6.83e-180	641
case04_hw02_query	MH061860.1	90.323	496	39	7	1	487	1290	1785	6.83e-180	641
case04_hw02_query	MH061857.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061855.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	MH061854.1	90.323	496	39	7	1	487	1303	1798	6.83e-180	641
case04_hw02_query	MH061852.1	90.323	496	39	7	1	487	1310	1805	6.83e-180	641
case04_hw02_query	KX601169.1	90.323	496	39	7	1	487	1294	1789	6.83e-180	641
case04_hw02_query	KU955594.1	90.323	496	39	7	1	487	1330	1825	6.83e-180	641
case04_hw02_query	NC_012532.1	90.323	496	39	7	1	487	1330	1825	6.83e-180	641
case04_hw02_query	MH130109.1	90.121	496	40	7	1	487	1310	1805	3.18e-178	636
case04_hw02_query	MH130108.1	90.121	496	40	7	1	487	1301	1796	3.18e-178	636
case04_hw02_query	MH130107.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130105.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130104.1	90.121	496	40	7	1	487	1292	1787	3.18e-178	636
case04_hw02_query	MH130103.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130102.1	90.121	496	40	7	1	487	1288	1783	3.18e-178	636
case04_hw02_query	MH130101.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130099.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130098.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130097.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
case04_hw02_query	MH130096.1	90.121	496	40	7	1	487	1309	1804	3.18e-178	636
case04_hw02_query	MH130095.1	90.121	496	40	7	1	487	1293	1788	3.18e-178	636
